,lambda1_share,lambda1_share_roc,n_significant_mp,regime_prob_stress
2024-02-22,0.11627786569276267,0.0001971741968916363,0.0,6.373905633042073e-06
2024-02-23,0.11251580133198437,-0.0019528945561834987,0.0,7.543083867405498e-06
2024-02-26,0.11329793317814255,-0.0001918004229893161,0.0,7.180185849944315e-06
2024-02-27,0.11334078148616253,0.002407498323613755,0.0,7.160326863788458e-06
2024-02-28,0.11347452245604098,0.0005807506039761379,0.0,7.105237287258831e-06
2024-02-29,0.11130891137299354,-0.004968954319769139,0.0,8.280257020887936e-06
2024-03-01,0.11205278410141666,-0.0004630172305677138,0.0,7.809315482593574e-06
2024-03-04,0.11102307745007298,-0.002274855728069569,0.0,8.491473655649549e-06
2024-03-05,0.11099284447490537,-0.0023479370112571563,0.0,8.518226639930197e-06
2024-03-06,0.11058638528257497,-0.0028881371734660044,0.0,8.840259299810697e-06
2024-03-07,0.1083052993893353,-0.0030036119836582414,0.0,1.1325221775513578e-05
2024-03-08,0.11121598339376147,-0.0008368007076551831,0.0,8.37042692693506e-06
2024-03-11,0.10583506996536712,-0.005188007484705853,0.0,1.595935589991147e-05
2024-03-12,0.10689593380202679,-0.0040969106728785815,0.0,1.3711462154946992e-05
2024-03-13,0.10742052336047761,-0.0031658619220973627,0.0,1.2735142478221703e-05
2024-03-14,0.10694849146206595,-0.0013568079272693462,0.0,1.358013278841005e-05
2024-03-15,0.10716004947548886,-0.004055933918272608,0.0,1.319373802349229e-05
2024-03-18,0.10781417858957826,0.0019791086242111344,0.0,1.2086137042382217e-05
2024-03-19,0.10851775642115816,0.0016218226191313662,0.0,1.1060728419090444e-05
2024-03-20,0.1096033362151734,0.0021828128546957926,0.0,9.77220060217942e-06
2024-03-21,0.10726507472225104,0.000316583260185091,0.0,1.2970930373486576e-05
2024-03-22,0.11508395446062418,0.007923904985135316,0.0,6.619833637418517e-06
2024-03-25,0.11453118432119289,0.006717005731614628,0.0,6.737019350890254e-06
2024-03-26,0.11425949288520723,0.005741736464049074,0.0,6.820388818141647e-06
2024-03-27,0.11601816111933945,0.006414824904166047,0.0,6.408792992572418e-06
2024-03-28,0.1144275608750976,0.007162486152846564,0.0,6.766741444877397e-06
2024-03-29,0.11576498167755249,0.0006810272169283094,0.0,6.450495071747549e-06
2024-04-01,0.11386177082557102,-0.0006694134956218706,0.0,6.953966140202603e-06
2024-04-02,0.11292321261589233,-0.001336280269314899,0.0,7.344472922213218e-06
2024-04-03,0.11491745624194288,-0.001100704877396566,0.0,6.635139019853282e-06
2024-04-04,0.11867710022263893,0.004249539347541326,0.0,6.288545933360787e-06
2024-04-05,0.12096168844187341,0.005196706764320921,0.0,6.651265719329882e-06
